ТН;ТБ;ГОСБ;кластер;сумма
00000000000002157798;Северо-Западный банк;ГО по Санкт-Петербургу;1;5399636853
00000000000001863696;Сибирский банк;Аппарат Сибирского банка;1;-9596991
00000000000000455261;Поволжский банк;Саратовское ГОСБ;2;-4298611
00000000000001643019;Сибирский банк;Красноярское ГОСБ;1;-3410892
00000000000001285737;Уральский банк;Западно-Сибирское ГОСБ;2;3257160197
00000000000000280293;Сибирский банк;Новосибирское ГОСБ;1;14202656559
00000000000002176084;Московский банк;Управление МБ по работе с предприятиями инфраструктуры;1;23709114989
00000000000001689037;Московский банк;Управление МБ по работе с предприятиями сферы недвижимости;1;23340747021
00000000000001400867;Московский банк;Управление МБ по работе с предприятиями торговли;1;13265065384
00000000000001919830;Среднерусский банк;Северное ГОСБ;1;9553269846
00000000000000815853;Волго-Вятский банк;Мордовское ГОСБ;4;-3211254
00000000000001445657;Дальневосточный банк;Хабаровское ГОСБ;2;3114508327
00000000000001218545;Московский банк;Управление МБ по работе с предприятиями торговли;1;22331902679
00000000000000625379;Среднерусский банк;Тульское ГОСБ;2;12652271499
00000000000000451668;Поволжский банк;Саратовское ГОСБ;2;-4875978
00000000000001479922;Северо-Западный банк;Аппарат Северо-Западного банка;1;3163476761
00000000000001422469;Северо-Западный банк;ГО по Санкт-Петербургу;1;20631633926
00000000000000672787;Поволжский банк;Оренбургское ГОСБ;2;7689878877
00000000000001757054;Поволжский банк;Саратовское ГОСБ;2;2368663421
00000000000001982536;Дальневосточный банк;Приморское ГОСБ;1;7761389297
00000000000001758609;Уральский банк;Челябинское ГОСБ;1;965478403
00000000000000341847;Сибирский банк;Алтайское ГОСБ;2;54344866
00000000000001737336;Уральский банк;Аппарат Уральского банка;1;24139221055
00000000000002236980;Центрально-Черноземный банк;Белгородское ГОСБ;2;9673541071
00000000000002212852;Московский банк;Управление МБ по работе с предприятиями промышленности;1;8356040877
00000000000001002903;Волго-Вятский банк;Пермское ГОСБ;1;0
00000000000001260398;Юго-Западный банк;Ростовское ГОСБ;1;24815795947
00000000000001762441;Московский банк;Управление МБ по работе с предприятиями сферы недвижимости;1;8878183519
00000000000002165044;Уральский банк;Свердловское ГОСБ;1;10487312133
00000000000001022599;Дальневосточный банк;Приморское ГОСБ;1;-4648426
00000000000000323920;Волго-Вятский банк;ГО по Нижегородской области;1;6946317350
00000000000001849596;Среднерусский банк;Аппарат Среднерусского банка;1;12059539414
00000000000000442299;Поволжский банк;Самарское ГОСБ;1;15699244054
00000000000002028214;Уральский банк;Челябинское ГОСБ;1;12057084611
00000000000000390265;Уральский банк;Башкирское ГОСБ;1;29647178281
00000000000002201173;Уральский банк;Свердловское ГОСБ;1;11726919394
00000000000001140880;Северо-Западный банк;ГО по Санкт-Петербургу;1;9566575239
00000000000001888403;Центрально-Черноземный банк;Липецкое ГОСБ;3;-2491844
00000000000002132471;Поволжский банк;Аппарат Поволжского банка;1;5088041842
00000000000002019188;Среднерусский банк;Калужское ГОСБ;3;24908282032
00000000000001949131;Юго-Западный банк;Краснодарское ГОСБ;1;6965994267
00000000000000333606;Волго-Вятский банк;Чувашское ГОСБ;3;0
00000000000000348087;Сибирский банк;Алтайское ГОСБ;2;1673621944
00000000000001922405;Поволжский банк;Самарское ГОСБ;1;27714886075
00000000000002114817;Московский банк;Управление МБ по работе с предприятиями торговли;1;9504998489
00000000000001554180;Дальневосточный банк;Приморское ГОСБ;1;10405826480
00000000000002204431;Уральский банк;Башкирское ГОСБ;1;28856430584
00000000000001979373;Юго-Западный банк;Ростовское ГОСБ;1;17159607813
00000000000001894748;Уральский банк;Челябинское ГОСБ;1;12518044583
00000000000000524821;Уральский банк;Югорское отделение;1;13453920700
00000000000002122504;Сибирский банк;Кемеровское ГОСБ;1;2965908834
00000000000001713470;Дальневосточный банк;Приморское ГОСБ;1;17322013794
00000000000001774143;Поволжский банк;Пензенское ГОСБ;3;20328569290
00000000000001224410;Уральский банк;Югорское отделение;1;10619827454
00000000000001967104;Уральский банк;Аппарат Уральского банка;1;29433461283
00000000000001207033;Уральский банк;Челябинское ГОСБ;1;23888549340
00000000000002000448;Московский банк;Управление МБ по работе с предприятиями транспорта;1;17364084187
00000000000001966796;Сибирский банк;Новосибирское ГОСБ;1;2282276365
00000000000000449880;Поволжский банк;Аппарат Поволжского банка;1;26598900662
00000000000002061912;Дальневосточный банк;Биробиджанское ГОСБ;5;17830481132
00000000000002156657;Поволжский банк;Волгоградское ГОСБ;2;3774347858
00000000000000339866;Волго-Вятский банк;Марий Эл ГОСБ;5;9032949784
00000000000000394425;Поволжский банк;Астраханское ГОСБ;4;-8610911
00000000000001833268;Центрально-Черноземный банк;Аппарат Центрально-Черноземного банка;1;6123539733
00000000000001062095;Волго-Вятский банк;Банк Татарстан ГОСБ;1;20146137043
00000000000000406761;Центрально-Черноземный банк;ГО по Воронежской области;1;17189792901
00000000000001860804;Уральский банк;Свердловское ГОСБ;1;7763496315
00000000000000960004;Среднерусский банк;Тверское ГОСБ;3;951420218
00000000000002118175;Дальневосточный банк;Приморское ГОСБ;1;24473473390
00000000000000288815;Дальневосточный банк;Благовещенское ГОСБ;3;17516833149
00000000000001134760;Байкальский банк;Иркутское ГОСБ;1;3437578881
00000000000000890867;Волго-Вятский банк;Пермское ГОСБ;1;10212356295
00000000000002133906;Московский банк;Управление МБ по работе с предприятиями сферы услуг;1;-4065685
00000000000001860548;Среднерусский банк;Южное ГОСБ;1;0
00000000000000916223;Юго-Западный банк;Калмыцкое ОСБ;5;7084399560
00000000000001906417;Юго-Западный банк;Краснодарское ГОСБ;1;24581962682
00000000000001753412;Московский банк;Управление МБ по работе с предприятиями сферы недвижимости;1;28645460281
00000000000001813657;Московский банк;Управление МБ по работе с предприятиями сферы недвижимости;1;13762093016
00000000000001072725;Юго-Западный банк;Ставропольское ГОСБ;1;5690053884
00000000000001002330;Дальневосточный банк;Хабаровское ГОСБ;2;-7161948
00000000000001024060;Уральский банк;Свердловское ГОСБ;1;4707811885
00000000000002135595;Северо-Западный банк;ГО по Санкт-Петербургу;1;12708120967
00000000000000465881;Байкальский банк;Читинское ГОСБ;3;17753265305
00000000000002012685;Среднерусский банк;Восточное ГОСБ;1;5622270531
00000000000001566028;Юго-Западный банк;Краснодарское ГОСБ;1;15796525765
00000000000000926545;Центрально-Черноземный банк;ГО по Воронежской области;1;11596825908
00000000000000365960;Среднерусский банк;Северное ГОСБ;1;29532932174
00000000000001442505;Уральский банк;Челябинское ГОСБ;1;29203708698
00000000000001897111;Уральский банк;Свердловское ГОСБ;1;-530721
00000000000001809734;Московский банк;Управление МБ по работе с предприятиями сферы услуг;1;12468065682
00000000000002209584;Уральский банк;Югорское отделение;1;2677530717
00000000000002174618;Дальневосточный банк;Приморское ГОСБ;1;-9206973
00000000000002195424;Дальневосточный банк;Приморское ГОСБ;1;5339995778
00000000000000320896;Волго-Вятский банк;ГО по Нижегородской области;1;20616921189
00000000000000685097;Северо-Западный банк;ГО по Санкт-Петербургу;1;21941834815
00000000000001465684;Центрально-Черноземный банк;Липецкое ГОСБ;3;3517030130
00000000000001900952;Волго-Вятский банк;ГО по Нижегородской области;1;-9713414
00000000000002065379;Дальневосточный банк;Хабаровское ГОСБ;2;20207902763
00000000000001082452;Московский банк;Управление МБ по работе с предприятиями торговли;1;-3523181
00000000000000319902;Волго-Вятский банк;Аппарат Волго-Вятского банка;1;10144919393
00000000000001724324;Дальневосточный банк;Аппарат Дальневосточного банка;1;15523435803
00000000000002003345;Северо-Западный банк;ГО по Санкт-Петербургу;1;9200486209
00000000000000317780;Волго-Вятский банк;ГО по Нижегородской области;1;20481036252
00000000000000399207;Центрально-Черноземный банк;Липецкое ГОСБ;3;0
00000000000001006279;Юго-Западный банк;Карачаево-Черкесское ОСБ;5;13572890778
00000000000001510522;Московский банк;Управление МБ по работе с предприятиями торговли;1;14106054407
00000000000002015455;Северо-Западный банк;Аппарат Северо-Западного банка;1;21441954507
00000000000000894694;Юго-Западный банк;Ростовское ГОСБ;1;25247097987
00000000000000415812;Центрально-Черноземный банк;ГО по Воронежской области;1;-5324098
00000000000001406270;Юго-Западный банк;Чеченское ОСБ;5;24232973283
00000000000001451750;Среднерусский банк;Восточное ГОСБ;1;880209563
00000000000001025464;Байкальский банк;Читинское ГОСБ;3;0
00000000000001998322;Московский банк;Управление МБ по работе с предприятиями транспорта;1;27454411362
00000000000000446556;Московский банк;Управление МБ по работе с предприятиями инфраструктуры;1;-5523353
00000000000001723695;Среднерусский банк;Тверское ГОСБ;3;0
00000000000001982771;Уральский банк;Башкирское ГОСБ;1;0
00000000000001485638;Московский банк;Управление МБ по работе с предприятиями промышленности;1;-3837906
00000000000002067688;Центрально-Черноземный банк;ГО по Воронежской области;1;15007540044
00000000000000937018;Байкальский банк;Бурятское ГОСБ;4;19646707859
00000000000002003726;Северо-Западный банк;ГО по Санкт-Петербургу;1;1579667819
00000000000001526427;Среднерусский банк;Южное ГОСБ;1;-9934936
00000000000000707419;Северо-Западный банк;ГО по Ленинградской области;2;18891741211
00000000000001612364;Московский банк;Управление МБ по работе с предприятиями инфраструктуры;1;27354867141
00000000000000938858;Уральский банк;Свердловское ГОСБ;1;0
00000000000001701199;Сибирский банк;Красноярское ГОСБ;1;9136040204
00000000000001727683;Центрально-Черноземный банк;ГО по Луганской Народной Республике;5;797296076
00000000000000924848;Московский банк;Управление МБ по работе с предприятиями торговли;1;1626272731
00000000000000274511;Сибирский банк;Красноярское ГОСБ;1;971123103
00000000000000410085;Центрально-Черноземный банк;Белгородское ГОСБ;2;21956402577
00000000000001785512;Юго-Западный банк;Аппарат Юго-Западного банка;1;0
00000000000000417249;Уральский банк;Челябинское ГОСБ;1;15617802954
00000000000002021884;Среднерусский банк;Северное ГОСБ;1;18372756257
00000000000000368781;Среднерусский банк;Южное ГОСБ;1;596412661
00000000000001764720;Среднерусский банк;Костромское ГОСБ;4;839400433
00000000000001353900;Центрально-Черноземный банк;ГО по Воронежской области;1;14325656501
00000000000001793017;Байкальский банк;Иркутское ГОСБ;1;-9644197
00000000000001960193;Дальневосточный банк;Приморское ГОСБ;1;12823076183
00000000000001785665;Среднерусский банк;Западное ГОСБ;1;8381151290
00000000000001709217;Московский банк;Управление МБ по работе с предприятиями инфраструктуры;1;26149839289
00000000000000328247;Волго-Вятский банк;Банк Татарстан ГОСБ;1;26870275854
00000000000001680328;Северо-Западный банк;ГО по Санкт-Петербургу;1;16508290949
00000000000000413655;Центрально-Черноземный банк;Белгородское ГОСБ;2;3945736539
00000000000000380060;Уральский банк;Челябинское ГОСБ;1;15260383221
00000000000002088253;Московский банк;Управление МБ по работе с предприятиями сферы услуг;1;0
00000000000001807208;Волго-Вятский банк;Удмуртское ГОСБ;2;20269996788
00000000000001830405;Волго-Вятский банк;Владимирское ГОСБ;3;10181709545
00000000000002031267;Северо-Западный банк;ГО по Санкт-Петербургу;1;10993064344
00000000000000865536;Поволжский банк;Ульяновское ГОСБ;3;20984463911
00000000000000370963;Среднерусский банк;Аппарат Среднерусского банка;1;24083795826
00000000000001133564;Среднерусский банк;Восточное ГОСБ;1;12942176700
00000000000000953458;Волго-Вятский банк;Банк Татарстан ГОСБ;1;16786943154
00000000000002064396;Юго-Западный банк;Краснодарское ГОСБ;1;6247388867
00000000000000453531;Поволжский банк;Саратовское ГОСБ;2;9736119241
00000000000001293678;Среднерусский банк;Восточное ГОСБ;1;0
00000000000001455420;Среднерусский банк;Тульское ГОСБ;2;0
00000000000001973549;Волго-Вятский банк;Банк Татарстан ГОСБ;1;19199888426
00000000000001535256;Уральский банк;Свердловское ГОСБ;1;-7538108
00000000000001263727;Северо-Западный банк;Карельское ГОСБ;4;7630773227
00000000000000418994;Уральский банк;Челябинское ГОСБ;1;1536312750
00000000000000881310;Среднерусский банк;Восточное ГОСБ;1;10950471467
00000000000000043775;Московский банк;Управление МБ по работе с предприятиями промышленности;1;-1480529
00000000000000328808;Волго-Вятский банк;ГО по Нижегородской области;1;27594729640
00000000000000410591;Центрально-Черноземный банк;Белгородское ГОСБ;2;26953166866
00000000000001753562;Московский банк;Управление МБ по работе с предприятиями промышленности;1;11527804377
00000000000000866551;Юго-Западный банк;Ставропольское ГОСБ;1;2703509375
00000000000000874003;Среднерусский банк;Ивановское ГОСБ;4;6737824384
00000000000002024215;Среднерусский банк;Аппарат Среднерусского банка;1;7315045325
00000000000002233905;Дальневосточный банк;Хабаровское ГОСБ;2;11829774789
00000000000000908424;Поволжский банк;Саратовское ГОСБ;2;8576244305
00000000000001104279;Волго-Вятский банк;Банк Татарстан ГОСБ;1;3238311181
00000000000000681538;Северо-Западный банк;Калининградское ГОСБ;3;12493666114
00000000000000699981;Северо-Западный банк;Псковское ГОСБ;4;25399986422
00000000000001973667;Северо-Западный банк;ГО по Ленинградской области;2;0
00000000000000363866;Среднерусский банк;Калужское ГОСБ;3;-2238176
00000000000000101471;Уральский банк;Аппарат Уральского банка;1;21015869748
00000000000000333098;Волго-Вятский банк;Банк Татарстан ГОСБ;1;10288945935
00000000000002162624;Юго-Западный банк;Ростовское ГОСБ;1;5309794180
00000000000000092751;Уральский банк;Югорское отделение;1;28468271849
00000000000000347799;Сибирский банк;Алтайское ГОСБ;2;4894816650
00000000000000332660;Волго-Вятский банк;Аппарат Волго-Вятского банка;1;5295476654
00000000000001100521;Юго-Западный банк;ГО по Донецкой Народной Республике;5;19346726623
00000000000001949655;Юго-Западный банк;Краснодарское ГОСБ;1;21779792156
00000000000000412925;Центрально-Черноземный банк;Тамбовское ГОСБ;4;-1546535
00000000000001148723;Волго-Вятский банк;Пермское ГОСБ;1;-8289070
00000000000001675296;Московский банк;Управление МБ по работе с предприятиями торговли;1;2502881500
00000000000002135028;Северо-Западный банк;Вологодское ГОСБ;3;22496071972
00000000000000131351;Байкальский банк;Читинское ГОСБ;3;25547226448
00000000000001797872;Волго-Вятский банк;Владимирское ГОСБ;3;21773928828
00000000000002019924;Московский банк;Управление МБ по работе с предприятиями сферы услуг;1;9256787195
00000000000000041097;Среднерусский банк;Южное ГОСБ;1;5346727047
00000000000001549734;Юго-Западный банк;Краснодарское ГОСБ;1;28430817434
00000000000000401849;Центрально-Черноземный банк;ГО по Воронежской области;1;7099026961
00000000000000877787;Байкальский банк;Читинское ГОСБ;3;21515030071
00000000000000367552;Среднерусский банк;Аппарат территориального банка;0;23980009658
00000000000000905027;Дальневосточный банк;Благовещенское ГОСБ;3;22357867608
00000000000000768976;Юго-Западный банк;Краснодарское ГОСБ;1;0
00000000000001806112;Среднерусский банк;Аппарат Среднерусского банка;1;11021248154
00000000000001200446;Сибирский банк;Омское ГОСБ;2;26983233554
00000000000002224292;Центрально-Черноземный банк;Белгородское ГОСБ;2;-1245531
00000000000001596683;Байкальский банк;Читинское ГОСБ;3;17157569230
00000000000000949884;Юго-Западный банк;Адыгейское ГОСБ;5;-9006780
00000000000001022021;Байкальский банк;Иркутское ГОСБ;1;9051528831
00000000000002082074;Дальневосточный банк;Хабаровское ГОСБ;2;17628627825
00000000000001066586;Сибирский банк;Красноярское ГОСБ;1;27933310485
00000000000000793789;Волго-Вятский банк;Пермское ГОСБ;1;0
00000000000001862030;Сибирский банк;Аппарат Сибирского банка;1;3453993114
00000000000000451615;Поволжский банк;Саратовское ГОСБ;2;21595328650
00000000000002017153;Юго-Западный банк;Ростовское ГОСБ;1;13569563684
00000000000001698284;Северо-Западный банк;ГО по Санкт-Петербургу;1;24390066833
00000000000000962986;Центрально-Черноземный банк;ГО по Воронежской области;1;27972074788
00000000000000041677;Московский банк;Управление МБ по работе с предприятиями сферы услуг;1;12696906733
00000000000001863123;Московский банк;Управление МБ по работе с предприятиями сферы услуг;1;18822588098
00000000000000906113;Поволжский банк;Волгоградское ГОСБ;2;26456445644
00000000000002106815;Среднерусский банк;Южное ГОСБ;1;24546564905
00000000000001738342;Уральский банк;Аппарат Уральского банка;1;-8948862
00000000000002217716;Поволжский банк;Волгоградское ГОСБ;2;17350981598
00000000000001949511;Среднерусский банк;Южное ГОСБ;1;17539960628
00000000000000808523;Волго-Вятский банк;Пермское ГОСБ;1;29132567445
00000000000001013326;Центрально-Черноземный банк;ГО по Воронежской области;1;9771629418
00000000000001461938;Юго-Западный банк;Ростовское ГОСБ;1;8099664188
00000000000001347822;Московский банк;Управление МБ по работе с предприятиями торговли;1;-9738975
00000000000000814760;Среднерусский банк;Западное ГОСБ;1;23964872778
00000000000001648564;Уральский банк;Свердловское ГОСБ;1;29921174601
00000000000000955348;Центрально-Черноземный банк;Тамбовское ГОСБ;4;11130471974
00000000000001263559;Волго-Вятский банк;Банк Татарстан ГОСБ;1;20209149003
00000000000001565019;Московский банк;Управление МБ по работе с предприятиями торговли;1;9210995176
00000000000000701219;Северо-Западный банк;ГО по Санкт-Петербургу;1;10297552469
00000000000000974418;Волго-Вятский банк;Банк Татарстан ГОСБ;1;3490437766
00000000000001472350;Московский банк;Управление МБ по работе с предприятиями инфраструктуры;1;0
00000000000001809722;Поволжский банк;Самарское ГОСБ;1;948944273
00000000000001795542;Среднерусский банк;Западное ГОСБ;1;10125481572
00000000000001784741;Среднерусский банк;Брянское ГОСБ;3;-7773069
00000000000001862836;Московский банк;Управление МБ по работе с предприятиями сферы недвижимости;1;7473589268
00000000000000403422;Среднерусский банк;Аппарат Среднерусского банка;1;27725475009
00000000000000698475;Северо-Западный банк;Псковское ГОСБ;4;16116406573
00000000000000127704;Байкальский банк;Читинское ГОСБ;3;4146418140
00000000000000623969;Среднерусский банк;Рязанское ГОСБ;3;7660945508
00000000000001448045;Северо-Западный банк;ГО по Санкт-Петербургу;1;22108881525
00000000000002011511;Среднерусский банк;Южное ГОСБ;1;10235699314
00000000000000973746;Среднерусский банк;Южное ГОСБ;1;7664918440
00000000000000366485;Среднерусский банк;Южное ГОСБ;1;1317929372
00000000000000414605;Центрально-Черноземный банк;Тамбовское ГОСБ;4;12301660463
00000000000000410061;Центрально-Черноземный банк;Белгородское ГОСБ;2;25553654984
00000000000001289142;Центрально-Черноземный банк;Белгородское ГОСБ;2;24160563767
00000000000000450631;Поволжский банк;Саратовское ГОСБ;2;12921851754
00000000000001792332;Северо-Западный банк;Калининградское ГОСБ;3;17562627953
00000000000002241318;Сибирский банк;Новосибирское ГОСБ;1;0
00000000000000297752;Московский банк;Управление МБ по работе с предприятиями сферы недвижимости;1;756060138
00000000000001667666;Среднерусский банк;Ярославское ГОСБ;2;-8703280
00000000000002075757;Среднерусский банк;Ярославское ГОСБ;2;-8383620
00000000000001558183;Северо-Западный банк;ГО по Санкт-Петербургу;1;1253159034
00000000000002008538;Московский банк;Управление МБ по работе с предприятиями промышленности;1;28365826699
00000000000002187238;Юго-Западный банк;ГО по Донецкой Народной Республике;5;1801892680
00000000000000385475;Уральский банк;Челябинское ГОСБ;1;-7284701
00000000000002219335;Среднерусский банк;Брянское ГОСБ;3;4973722754
00000000000000125458;Байкальский банк;Иркутское ГОСБ;1;23621241877
00000000000000795146;Московский банк;Управление МБ по работе с предприятиями инфраструктуры;1;13329929201
00000000000001288719;Центрально-Черноземный банк;Тамбовское ГОСБ;4;-4801765
00000000000001625962;Уральский банк;Югорское отделение;1;-6620588
00000000000001073622;Байкальский банк;Бурятское ГОСБ;4;7975397216
00000000000002247696;Сибирский банк;Новосибирское ГОСБ;1;11476413064
00000000000001981980;Среднерусский банк;Восточное ГОСБ;1;-175999
00000000000001575377;Юго-Западный банк;Краснодарское ГОСБ;1;11880310103
00000000000000800168;Волго-Вятский банк;Пермское ГОСБ;1;1195604665
00000000000001904686;Московский банк;Управление МБ по работе с предприятиями инфраструктуры;1;10900076775
00000000000000367817;Среднерусский банк;Тульское ГОСБ;2;-4835968
00000000000001101411;Среднерусский банк;Ивановское ГОСБ;4;10107588334
00000000000001320550;Уральский банк;Свердловское ГОСБ;1;24829380800
00000000000000876003;Дальневосточный банк;Аппарат Дальневосточного банка;1;21882897092
00000000000001856901;Уральский банк;Челябинское ГОСБ;1;26553659917
00000000000001730560;Поволжский банк;Самарское ГОСБ;1;6140342805
00000000000001120496;Московский банк;Управление МБ по работе с предприятиями транспорта;1;1209024629
00000000000001606645;Московский банк;Управление МБ по работе с предприятиями транспорта;1;808004997
00000000000000297797;Северо-Западный банк;Вологодское ГОСБ;3;12406476239
00000000000001201405;Поволжский банк;Волгоградское ГОСБ;2;9440880099
00000000000001667097;Среднерусский банк;Северное ГОСБ;1;1903241489
00000000000000442139;Поволжский банк;Самарское ГОСБ;1;26846300650
00000000000001061768;Московский банк;Управление МБ по работе с предприятиями сферы недвижимости;1;15545912632
00000000000000706815;Северо-Западный банк;ГО по Ленинградской области;2;13168371139
00000000000002088292;Уральский банк;Башкирское ГОСБ;1;0
00000000000002193557;Московский банк;Управление МБ по работе с предприятиями торговли;1;9903978122
00000000000001888840;Юго-Западный банк;Карачаево-Черкесское ОСБ;5;7696698190
00000000000001603845;Волго-Вятский банк;Аппарат Волго-Вятского банка;1;26472060583
00000000000002175669;Среднерусский банк;Костромское ГОСБ;4;4147169370
00000000000002009640;Центрально-Черноземный банк;ГО по Воронежской области;1;1257728378
00000000000001338311;Северо-Западный банк;Вологодское ГОСБ;3;2043133143
00000000000000815054;Уральский банк;Башкирское ГОСБ;1;26118944720
00000000000001142205;Уральский банк;Ямало-Ненецкое отделение;4;12209408229
00000000000002175973;Юго-Западный банк;Краснодарское ГОСБ;1;16855613021
00000000000002159101;Сибирский банк;Томское ГОСБ;4;16412282709
00000000000001825971;Центрально-Черноземный банк;Липецкое ГОСБ;3;13142983816
00000000000000461613;Поволжский банк;Волгоградское ГОСБ;2;-3278850
00000000000001866781;Юго-Западный банк;Ростовское ГОСБ;1;28912146458
00000000000001781643;Дальневосточный банк;Аппарат Дальневосточного банка;1;15211984034
00000000000000878747;Поволжский банк;Волгоградское ГОСБ;2;12621560539
00000000000000274595;Сибирский банк;Абаканское ГОСБ;5;10162519430
00000000000001325324;Уральский банк;Свердловское ГОСБ;1;12144579732
00000000000001767432;Юго-Западный банк;Краснодарское ГОСБ;1;-4257611
00000000000000460108;Среднерусский банк;Северное ГОСБ;1;25472496338
00000000000001454565;Уральский банк;Челябинское ГОСБ;1;28966268810
00000000000001603024;Московский банк;Управление МБ по работе с предприятиями торговли;1;10757484186
00000000000001812828;Московский банк;Управление МБ по работе с предприятиями промышленности;1;5208315182
00000000000001984710;Северо-Западный банк;Калининградское ГОСБ;3;7707491
00000000000000893257;Юго-Западный банк;Краснодарское ГОСБ;1;6462327790
00000000000001608299;Байкальский банк;Бурятское ГОСБ;4;21116946028
00000000000001836943;Дальневосточный банк;Приморское ГОСБ;1;-4384165
00000000000000099271;Уральский банк;Югорское отделение;1;21569479876
00000000000001755960;Среднерусский банк;Аппарат Среднерусского банка;1;20002050283
00000000000000675967;Северо-Западный банк;Калининградское ГОСБ;3;24872091506
00000000000000109940;Уральский банк;Западно-Сибирское ГОСБ;2;15699076270
00000000000001983478;Северо-Западный банк;ГО по Санкт-Петербургу;1;24709489636
00000000000001630692;Северо-Западный банк;ГО по Ленинградской области;2;-5665577
00000000000002241171;Московский банк;Управление МБ по работе с предприятиями торговли;1;11161672261
00000000000001041207;Юго-Западный банк;Аппарат Юго-Западного банка;1;24492261274
00000000000001601723;Юго-Западный банк;Краснодарское ГОСБ;1;-705730
00000000000002180006;Поволжский банк;Волгоградское ГОСБ;2;10974817304
00000000000000760992;Юго-Западный банк;Аппарат Юго-Западного банка;1;20731295913
00000000000001809687;Московский банк;Управление МБ по работе с предприятиями транспорта;1;2850485349
00000000000000560712;Северо-Западный банк;ГО по Санкт-Петербургу;1;18332931441
00000000000001918754;Юго-Западный банк;Ростовское ГОСБ;1;20580666456
00000000000001331258;Московский банк;Управление МБ по работе с предприятиями торговли;1;16906946354
00000000000000517591;Дальневосточный банк;Южно-Сахалинское ГОСБ;3;-4656684
00000000000000332480;Волго-Вятский банк;Банк Татарстан ГОСБ;1;15752995090
00000000000000452132;Поволжский банк;Самарское ГОСБ;1;-7301042
00000000000002186479;Центрально-Черноземный банк;ГО по Луганской Народной Республике;5;22254654821
00000000000000943788;Волго-Вятский банк;Удмуртское ГОСБ;2;12958102927
00000000000000294215;Северо-Западный банк;Вологодское ГОСБ;3;17508947072
00000000000001518643;Северо-Западный банк;ГО по Санкт-Петербургу;1;29092284972
00000000000001064805;Среднерусский банк;Калужское ГОСБ;3;-4908739
00000000000000941777;Уральский банк;Свердловское ГОСБ;1;1850784878
00000000000001959363;Юго-Западный банк;Ростовское ГОСБ;1;3802926038
00000000000000863281;Московский банк;Управление МБ по работе с предприятиями сферы услуг;1;27695841388
00000000000001079058;Поволжский банк;Самарское ГОСБ;1;0
00000000000001198162;Юго-Западный банк;Ростовское ГОСБ;1;22328452748
00000000000001826320;Волго-Вятский банк;Банк Татарстан ГОСБ;1;6358247088
00000000000001750925;Среднерусский банк;Южное ГОСБ;1;23021279615
00000000000001006959;Московский банк;Управление МБ по работе с предприятиями торговли;1;29496484590
00000000000001838225;Московский банк;Управление МБ по работе с предприятиями торговли;1;-5589631
00000000000002123203;Северо-Западный банк;Карельское ГОСБ;4;21612054304
00000000000000954748;Среднерусский банк;Калужское ГОСБ;3;5134834186
00000000000000346777;Сибирский банк;Алтайское ГОСБ;2;25642884156
00000000000000456876;Поволжский банк;Саратовское ГОСБ;2;-7590329
00000000000001849687;Центрально-Черноземный банк;ГО по Воронежской области;1;19872687461
00000000000000907076;Среднерусский банк;Тульское ГОСБ;2;28508709767
00000000000001363270;Уральский банк;Западно-Сибирское ГОСБ;2;17965091808
00000000000001310788;Волго-Вятский банк;Пермское ГОСБ;1;3902159079
00000000000001425877;Московский банк;Управление МБ по работе с предприятиями сферы услуг;1;24170867263
00000000000001210173;Среднерусский банк;Аппарат Среднерусского банка;1;113130964
00000000000001851259;Поволжский банк;Самарское ГОСБ;1;19623044650
00000000000000310300;Юго-Западный банк;Северо-Осетинское ОСБ;5;17340439193
00000000000000586696;Сибирский банк;Томское ГОСБ;4;26285526064
00000000000001586274;Московский банк;Управление МБ по работе с предприятиями торговли;1;17501604981
00000000000001198490;Дальневосточный банк;Северо-Восточное ГОСБ;5;26819216308
00000000000001140339;Северо-Западный банк;ГО по Санкт-Петербургу;1;19795897378
00000000000002245987;Среднерусский банк;Рязанское ГОСБ;3;25465037504
00000000000000768942;Юго-Западный банк;Краснодарское ГОСБ;1;-370286
00000000000002030596;Юго-Западный банк;Краснодарское ГОСБ;1;17368691924
00000000000001552677;Уральский банк;Западно-Сибирское ГОСБ;2;-628961
00000000000002064416;Московский банк;Управление МБ по работе с предприятиями инфраструктуры;1;27440475268
00000000000000297289;Северо-Западный банк;Архангельское ГОСБ;2;5344788220
00000000000001345845;Поволжский банк;Самарское ГОСБ;1;5376148071
00000000000002172896;Центрально-Черноземный банк;ГО по Воронежской области;1;23761170686
00000000000000371281;Среднерусский банк;Брянское ГОСБ;3;28817168939
00000000000001688727;Московский банк;Управление МБ по работе с предприятиями сферы услуг;1;13314794213
00000000000001421203;Центрально-Черноземный банк;Тамбовское ГОСБ;4;12344426490
00000000000002116731;Северо-Западный банк;ГО по Ленинградской области;2;24052962997
00000000000000025477;Московский банк;Управление МБ по работе с предприятиями промышленности;1;-7542737
00000000000000754345;Московский банк;Управление МБ по работе с предприятиями сферы недвижимости;1;4504868072
00000000000001121557;Юго-Западный банк;ГО по Республике Крым;5;3492886368
00000000000001771876;Волго-Вятский банк;Аппарат Волго-Вятского банка;1;0
00000000000001992704;Московский банк;Управление МБ по работе с предприятиями транспорта;1;22781714951
00000000000000775403;Юго-Западный банк;Краснодарское ГОСБ;1;24846446434
00000000000000774937;Северо-Западный банк;ГО по Санкт-Петербургу;1;5133153058
00000000000002080960;Среднерусский банк;Рязанское ГОСБ;3;28495828112
